,attr_conc.mean,attr_conc.sd,attr_ent.mean,attr_ent.sd,attr_to_inst,cat_to_num,cor.mean,cor.sd,cov.mean,cov.sd,eigenvalues.mean,eigenvalues.sd,g_mean.mean,g_mean.sd,h_mean.mean,h_mean.sd,inst_to_attr,iq_range.mean,iq_range.sd,kurtosis.mean,kurtosis.sd,mad.mean,mad.sd,max.mean,max.sd,mean.mean,mean.sd,median.mean,median.sd,min.mean,min.sd,nr_attr,nr_bin,nr_cat,nr_cor_attr,nr_inst,nr_norm,nr_num,nr_outliers,num_to_cat,range.mean,range.sd,sd.mean,sd.sd,skewness.mean,skewness.sd,sparsity.mean,sparsity.sd,t_mean.mean,t_mean.sd,var.mean,var.sd,n_pcs,rv,lid_mean,lid_median,lid_std,lid_kurtosis,lid_skew,lid_entropy,lid_hist0,lid_hist1,lid_hist2,lid_hist3,lid_hist4,lid_hist5,lid_hist6,lid_hist7,lid_hist8,lid_hist9,rc_mean,rc_median,rc_std,rc_kurtosis,rc_skew,rc_entropy,rc_hist0,rc_hist1,rc_hist2,rc_hist3,rc_hist4,rc_hist5,rc_hist6,rc_hist7,rc_hist8,rc_hist9,elapsed_time(secs)
base4_1000,0.008175989633055913,0.0013068022712250048,3.169911933019243,6.550913566666281e-06,0.032,0.0,0.02582265389817188,0.020800992984383242,0.025942305228040925,0.021008429987100615,1.0034388552111597,0.1948797322594237,,,,,31.25,1.3464298054748325,0.04541425055413782,0.005370637595419794,0.13980534145859327,0.9967434396313996,0.03505017908333575,4.743963286840179,5.639759838986491,1.5509742516621146,5.668671304147331,1.5451936794187344,5.67198801623059,-1.6504306382520664,5.61279521675224,32.0,0.0,0.0,0.0,1000.0,30.0,32.0,32.0,,6.394393925092247,0.48166903181821485,1.0014331697688692,0.024266513719272898,0.025312893946717215,0.07838639102663696,0.0,0.0,1.5470672462463535,5.669151166393377,1.0034388552111597,0.048447393236071126,28.0,0.030825900922074663,17.224085273183082,16.83486127970304,1.8683928369970235,2.5225205027177697,1.0037283380973523,4.5994469931931015,0.06,0.2,0.3,0.18,0.14,0.1,0.01,0.0,0.0,0.01,0.9441688450515422,0.9436302825199704,0.005484088100595095,0.1509804357320932,0.2082160783851404,4.605153323871847,0.02,0.07,0.14,0.23,0.16,0.2,0.14,0.03,0.0,0.01,1.0219166278839111
base4_2000,0.005643204223546568,0.0006850709614161465,3.584956726082241,0.0,0.016,0.0,0.017637241086473646,0.012855444626827256,0.01769010844546113,0.012967336644646768,1.001853836807391,0.1275600014220786,,,,,62.5,1.3507940707965853,0.033262141585654506,-0.02266612625058302,0.13003421179936356,1.001670320017335,0.024839420945509123,4.928662814125161,5.654497557536192,1.550620714363081,5.677300178405021,1.5473322903969717,5.679947570809283,-1.848652103130079,5.593251936429327,32.0,0.0,0.0,0.0,2000.0,30.0,32.0,32.0,,6.777314917255241,0.47315862533672093,1.0008192289384517,0.014887372243586971,0.014092214859791289,0.046786495841457575,0.0,0.0,1.5471675277530608,5.676321104095848,1.001853836807391,0.02979037194003936,29.0,0.030037759959893818,18.86968428056141,18.663046155526775,2.0063909370681583,-0.1746135767884951,0.3124660351389857,4.5995507736530135,0.06,0.06,0.12,0.21,0.15,0.17,0.1,0.06,0.05,0.02,0.9488761290363236,0.9487430206732668,0.0051898875212086715,-0.2065458937121676,-0.21115354917684853,4.605155222250977,0.03,0.03,0.06,0.09,0.19,0.2,0.14,0.15,0.05,0.06,1.050090789794922
base4_8000,0.0022169132655566696,0.00016330668597248397,4.247926815423784,2.68927619204707e-07,0.004,0.0,0.009089334344702025,0.006790874576069985,0.009081079244266,0.006785983724628421,0.9988784860723485,0.06570540047115835,,,,,250.0,1.3474172249854117,0.01943971761043096,-0.003195781457593333,0.05418118960381209,0.9995741185229026,0.014435341311505609,5.248727343885227,5.6533475875229176,1.5451455081163312,5.673089017429544,1.5447592115449855,5.673009884736299,-2.195970088715155,5.631461498976572,32.0,0.0,0.0,0.0,8000.0,30.0,32.0,32.0,,7.444697432600383,0.4470674313884608,0.9994138943004405,0.007209595869040176,-0.0026488541225244567,0.021673597189876184,0.0,0.0,1.544930127032866,5.672648808986537,0.9988784860723482,0.01441083551204099,29.0,0.029876206824622057,21.79006099153357,21.465134300706087,2.335019865233545,-0.45059723489697395,0.2546165280400985,4.599453298922425,0.02,0.08,0.11,0.2,0.16,0.19,0.08,0.09,0.05,0.02,0.9554706372681558,0.9552788309385274,0.004580711964674898,-0.2921852971259256,-0.22728268689063674,4.605158689544598,0.02,0.02,0.06,0.09,0.2,0.17,0.14,0.15,0.09,0.06,1.3153486251831057
base19_500,0.03227181842641071,0.00730258658108657,2.8073203201603487,0.0,0.016,0.0,0.09296766327327151,0.07097365376883912,3.3404237246822306,2.592164957384469,36.039422259384025,12.736935811790373,,,,,62.5,10.104347460176399,1.378900694103046,-1.1344331009440993,0.1723459190354471,7.420626046783435,1.1055868976060759,11.626311171661483,0.6616988205434851,-0.13646532304048123,0.3963670660962756,-0.4387937452368555,0.9638569787813126,-11.347300061024443,0.43157284536522217,8.0,0.0,0.0,0.0,500.0,0.0,8.0,0.0,,22.973611232685926,0.475362182303959,5.992478684846114,0.3848880669181668,0.07369890511245836,0.16688809680269534,0.0,0.0,-0.23925065297734932,0.6514275139128326,36.039422259384025,4.596448709172721,7.0,0.1661333647846109,4.8063112255966365,4.687463307319907,1.1681598469616017,0.3961616884489665,0.7567363542180806,4.5766084458266345,0.05,0.16,0.14,0.25,0.2,0.08,0.02,0.03,0.06,0.01,0.8303338889707181,0.8351563276438876,0.03426573728586549,0.1819730763162464,-0.6439047932695369,4.6043103437534025,0.03,0.04,0.03,0.07,0.09,0.14,0.23,0.2,0.08,0.09,0.4802765846252442
base19_4000,0.018609434866119823,0.0033236225962576457,3.906888340456499,0.0,0.002,0.0,0.09611635684024919,0.06867315580233023,3.371726195355495,2.455740091156249,35.0031210954364,12.251584408839612,,,,,500.0,9.866125069962617,1.1520442018609103,-1.0942128881714561,0.15251104661897805,7.190148000488417,0.754797447449086,12.396473727917726,0.3429080555274833,-0.21101655757349325,0.37581003277993735,-0.5477616270654827,0.8630709482483466,-12.393237158203881,1.0364321477968554,8.0,0.0,0.0,0.0,4000.0,0.0,8.0,0.0,,24.78971088612161,1.1160193188784318,5.90976192187594,0.29825228473621884,0.09390783234686957,0.13947846148120213,0.0,0.0,-0.35046258462960933,0.5646839581147153,35.00312109543638,3.5539823598846265,7.0,0.18178416802676034,1.971648390282551,1.8955449336159853,0.40630085969666496,0.9796342938742816,0.8299037719671848,4.584650674024089,0.08,0.12,0.26,0.2,0.18,0.04,0.08,0.02,0.0,0.02,0.6721802160338173,0.6806912945582755,0.05434153996603724,-0.29512326016441337,-0.4543946179242159,4.6018521533575285,0.02,0.07,0.05,0.1,0.05,0.22,0.23,0.14,0.06,0.06,0.6122512817382812
base19_1000,0.028509126517052136,0.006582159342966043,3.1699094960014107,6.016640247845747e-06,0.008,0.0,0.09156874204834439,0.061077825130519854,3.1809923380650926,2.1594860010987684,34.879516836554004,11.582882380410926,,,,,125.0,9.919994252001892,1.2419066090392246,-1.1156626830370695,0.166428234133086,7.331059122434344,0.9467691324695571,11.725483587875834,0.6347938591906482,-0.12577886044907385,0.3908833169810013,-0.4132891922509615,0.7512119041766724,-11.656847882868199,0.4892051808209036,8.0,0.0,0.0,0.0,1000.0,0.0,8.0,0.0,,23.382331470744035,0.7230908309337031,5.89689615858838,0.34827334318999137,0.08570678513924539,0.1265857525533846,0.0,0.0,-0.25530543204985523,0.5568573606039497,34.87951683655402,4.151966054013814,7.0,0.1791221442702444,4.1228986955285984,3.9455974301078616,0.7981472550913108,3.784704822624015,1.5483044827044858,4.587711233843509,0.08,0.22,0.31,0.22,0.08,0.03,0.03,0.0,0.01,0.02,0.8218330568940335,0.8210089626293914,0.028209409167159107,0.6665954660321973,-0.08307982047398672,4.604580096861877,0.04,0.01,0.1,0.11,0.27,0.17,0.19,0.06,0.02,0.03,0.5058734416961671
base19_2000,0.023710553302297,0.004072486452193395,3.584956726082241,0.0,0.004,0.0,0.09336121975394718,0.07144517778121043,3.2612747065381633,2.545499643331592,34.97501686196398,12.223437961651731,,,,,250.0,9.955699762515009,1.120428327499003,-1.1067069234370077,0.16775831333582616,7.2247121205547895,0.7943173095064999,12.274815076774386,0.39164236694819704,-0.11264408698115594,0.44248555483762486,-0.3937342026218602,0.9341258237645546,-11.684068916321124,0.4600814262044195,8.0,0.0,0.0,0.0,2000.0,0.0,8.0,0.0,,23.95888399309551,0.31828888993301635,5.906390226478008,0.31994884328425705,0.07208158697983275,0.16275827941714097,0.0,0.0,-0.21671084601152105,0.6606457646478748,34.975016861963994,3.7868049466019027,7.0,0.18096755536796785,3.0024743245440986,2.9059277765150666,0.6749964237935197,0.3094950714093594,0.7635090573538814,4.580750178463953,0.06,0.17,0.19,0.22,0.1,0.14,0.04,0.02,0.05,0.01,0.7726106821089642,0.7843553270762273,0.0470282334131743,-0.5357497206369755,-0.43793293814638,4.603298256166863,0.04,0.05,0.08,0.07,0.14,0.1,0.22,0.17,0.07,0.06,0.5598418712615967
base19_9900,0.014086499040190537,0.002168398766034239,4.392316627985591,0.0,0.0008080808080808081,0.0,0.09499446995804721,0.06594311233304288,3.3364575678544806,2.3598121865770496,35.07792382040179,12.06048530917051,,,,,1237.5,9.926929762628669,1.125541121912483,-1.1053082603007867,0.15129887908145823,7.26867125579812,0.7953951249872476,12.625536484604512,0.3835843399971233,-0.14439825467056472,0.3652360799100802,-0.44012670394707915,0.8672061090925144,-12.659093147638199,0.8995986015625647,8.0,0.0,0.0,0.0,9900.0,0.0,8.0,0.0,,25.28462963224271,0.8295591715280218,5.915662983736788,0.307720250038221,0.0795538227694873,0.13930315559714868,0.0,0.0,-0.26393704541047447,0.5620253967558272,35.07792382040178,3.666205892282436,7.0,0.18143750485358529,1.5156184009120302,1.2858046358775423,0.7513028959018554,4.516938611289974,2.011567187833502,4.503644128518883,0.38,0.35,0.11,0.05,0.03,0.03,0.03,0.01,0.0,0.01,0.4941816176572634,0.4787405513692801,0.12782609006555706,-0.28731315989515105,0.5809797780724012,4.572498292065598,0.11,0.07,0.22,0.16,0.17,0.08,0.07,0.04,0.06,0.02,0.7952213287353516
base19_8000,0.015260595084331622,0.002508062408244444,4.247926507544319,1.5144602235853453e-07,0.001,0.0,0.09488108693426993,0.06626534598758552,3.3307129103387285,2.3607360130806447,35.09430610715616,12.013028835879025,,,,,1000.0,9.920642698833959,1.1145292364698038,-1.102952687408006,0.15298342301642062,7.263421019960485,0.7745761694293818,12.614034580996663,0.3935899800663284,-0.13485429946544103,0.38549273255955663,-0.4333444553852305,0.8815195451985769,-12.572710634251749,0.9639052666537754,8.0,0.0,0.0,0.0,8000.0,0.0,8.0,0.0,,25.186745215248408,0.9136668782866713,5.9174878443669385,0.2978853450107979,0.07971317847768129,0.14409853315868437,0.0,0.0,-0.2538040392886808,0.5878924527674538,35.09430610715616,3.5456148552738966,7.0,0.18216902228703347,1.448356670388507,1.3905098274214012,0.4255974021301747,3.027935911268788,1.5522577378142404,4.566017321928666,0.12,0.26,0.3,0.15,0.07,0.04,0.02,0.01,0.02,0.01,0.5323877099172791,0.5320049539847559,0.07441853537555909,0.29160483902827217,0.4305833016205363,4.5954973750151655,0.02,0.06,0.1,0.22,0.25,0.15,0.09,0.05,0.03,0.03,0.7434918880462646
base16_8000,0.07824983318310164,0.021812166437944244,4.2479266380584395,2.444719302635456e-07,0.016,0.0,0.2651951014685203,0.18455624415605718,8.30599257380574,6.233174606638023,32.170810621672516,117.91902115711561,,,,,62.5,9.402091174368103,2.83107890165747,-0.9453852306983476,0.5681019832544275,6.413200748148076,1.9742012962411601,11.61291722746326,1.6134377778816615,-0.020104383959982333,1.7965292098059866,-0.20177000687972868,2.5360049972027343,-11.339599400503715,1.7001001344896745,128.0,0.0,0.0,0.12696850393700787,8000.0,0.0,128.0,22.0,,22.95251662796698,2.136737168954722,5.601047417270268,0.8974243185199117,0.05964698118379151,0.43967289512946495,0.0,0.0,-0.09656561013293904,2.2076535609844083,32.1708106216725,10.086336126038681,8.0,0.03154218974799762,36.41941754737794,35.88696961366957,3.4224532273838486,-0.3763134510107721,0.450847939200355,4.600800908227426,0.08,0.15,0.14,0.19,0.19,0.06,0.08,0.08,0.01,0.02,0.9729498548654204,0.9727639572688492,0.0024291553768665732,-0.6664872806340028,0.08484677564135606,4.60516706946705,0.05,0.11,0.1,0.14,0.16,0.19,0.07,0.11,0.05,0.02,2.0702157020568848
base16_9900,0.07714147035221144,0.01640781951661527,4.392316627985592,8.91668328702847e-16,0.01292929292929293,0.0,0.26533426349458894,0.18459461661930396,8.31525186866639,6.23860415848436,32.18768036489179,118.0389293041848,,,,,77.34375,9.40751334718145,2.8305365648064105,-0.9461076630676554,0.5701268856463131,6.436463769101129,1.998111590104472,11.679871778120088,1.6168715174623731,-0.018770762616441977,1.7962163348619717,-0.1783619216204519,2.4949441620564428,-11.402507056833837,1.6732746546139137,128.0,0.0,0.0,0.12696850393700787,9900.0,0.0,128.0,22.0,,23.08237883495393,2.1288406660220303,5.602565926454772,0.8973439889905197,0.05921578388029598,0.43910849105419564,0.0,0.0,-0.09471811255368118,2.206218554932426,32.1876803648918,10.08273402251368,8.0,0.03174551502313235,37.551973908608325,36.95265943329002,3.2737836421200863,0.5894786909730899,0.7021744656523448,4.601431637298994,0.05,0.08,0.28,0.19,0.14,0.16,0.04,0.03,0.01,0.02,0.9737802117445022,0.9735661903172022,0.0021578314242654073,-0.08201376976731023,0.20907430457091705,4.6051677311825,0.03,0.04,0.12,0.22,0.19,0.13,0.17,0.06,0.02,0.02,2.297282218933105
base16_500,0.15202609104750486,0.041080252467247495,2.8073203201603496,8.91668328702847e-16,0.256,0.0,0.26731685587086923,0.1854617913483559,8.395217890498007,6.286353111676511,32.2354135061492,119.08180932342825,,,,,3.90625,9.397537367142139,2.7943047992111247,-0.9556113526420146,0.5760547597718438,6.458275942438496,2.066599926740609,10.758950317959991,1.5999044979279864,-0.01589678684203244,1.824163863941255,-0.14544354666698284,2.5484658677717293,-10.442227845796769,1.742423088730436,128.0,0.0,0.0,0.13016732283464566,500.0,0.0,128.0,16.0,,21.201178163756758,2.0989552520283987,5.6066026538330105,0.8987383286387677,0.05998530378790834,0.4374410275952779,0.0,0.0,-0.08544118312218442,2.233879803032057,32.23541350614923,10.068069841537245,8.0,0.030493184137337825,1.4662872519145187,1.5046218286304085,0.1853100585222325,-0.945358584531708,0.15179183604046315,4.597192773690981,0.12,0.14,0.13,0.02,0.13,0.23,0.08,0.04,0.07,0.04,0.6679972054057316,0.6840051043611368,0.04065080640542845,-1.1302774967697031,-0.224312436543962,4.603307937817675,0.11,0.07,0.14,0.09,0.0,0.03,0.3,0.14,0.01,0.11,1.27111554145813
base16_4000,0.09655853973782583,0.01869462053487776,3.9068883404564976,1.3375024930542705e-15,0.032,0.0,0.26586759335658783,0.1851218325363814,8.345937511278361,6.275683561085185,32.23398992279755,118.57235933370931,,,,,31.25,9.413483871914806,2.841412669338059,-0.9472148272907268,0.5711033496548579,6.490632199745372,2.084015827751133,11.435809140608058,1.627648869845249,-0.01838628368386243,1.797208450599183,-0.12340326223638368,2.498503898353793,-11.17084721645121,1.6966951612198826,128.0,0.0,0.0,0.12906003937007873,4000.0,0.0,128.0,22.0,,22.606656357059265,2.167113555350075,5.606323473273049,0.8996948764736394,0.05880564424307303,0.4414543208302532,0.0,0.0,-0.09361073267533129,2.2069847027124982,32.23398992279754,10.151273452967937,8.0,0.031376419189426984,30.526491133028077,29.99881012130907,3.0913108082747627,-0.033391206850286625,0.4828924508953884,4.6001016981276965,0.04,0.05,0.19,0.21,0.17,0.11,0.11,0.07,0.02,0.03,0.9678101403002666,0.9675186986074747,0.003116416570864301,-0.2334058980868128,-0.028400050811876545,4.605165001379278,0.03,0.04,0.03,0.17,0.19,0.17,0.14,0.11,0.08,0.04,1.6964826583862305
base16_2000,0.11515152193479421,0.028236739117144433,3.58495672608224,8.91668328702847e-16,0.064,0.0,0.26508347431802715,0.18465226418719155,8.309975837850693,6.262513249375364,32.18821648876234,118.16307639199955,,,,,15.625,9.40546702760375,2.8571411273428544,-0.9427985170390373,0.5734029892927511,6.492536461919515,2.103379873547819,11.306081995620922,1.5759441071771711,-0.017954196512984355,1.8175029850438735,-0.19795934601617318,2.4997163357668954,-10.942194689945616,1.7018586256912507,128.0,0.0,0.0,0.12758366141732283,2000.0,0.0,128.0,20.0,,22.248276685566537,2.0769848219133715,5.601261132423781,0.9058147571857591,0.05962428812662239,0.4374098033372951,0.0,0.0,-0.09365983785745462,2.2232830410984135,32.18821648876234,10.196058341335343,8.0,0.03175220247411708,22.63654482391386,22.51599630556961,2.3049676845876066,-0.6704688046036402,0.18937004171459207,4.599998870801136,0.02,0.11,0.16,0.14,0.14,0.17,0.09,0.08,0.07,0.02,0.9568903218672732,0.9570676030607586,0.004265934327729369,-0.674888256819103,-0.19601890168532501,4.6051602455883875,0.01,0.06,0.08,0.13,0.13,0.14,0.18,0.13,0.11,0.03,1.4843382835388184
base16_1000,0.13675426598947246,0.03796949333811607,3.169909496001412,5.6501658436141594e-06,0.128,0.0,0.2652297212664667,0.18485503247276275,8.310862218134591,6.281404821243765,32.174974255336906,118.30728630093301,,,,,7.8125,9.391189593657018,2.8409590756095717,-0.9462180086668006,0.5694162007101499,6.471052823598234,2.10514071577743,10.963966652254118,1.6372426876466544,-0.03448087517697794,1.809217899476888,-0.16862174395549795,2.4907199558592152,-10.72361951245907,1.6503109351994378,128.0,0.0,0.0,0.12733759842519685,1000.0,0.0,128.0,16.0,,21.68758616471319,2.1554679443101383,5.598864664332423,0.9133487613657358,0.06117535155231104,0.4381329159264055,0.0,0.0,-0.10969637843332639,2.2178040397552343,32.1749742553369,10.288160564342538,8.0,0.030909345194689183,1.5796353563542678,0.6617125628712714,3.097534821799707,7.9495953123425425,3.137898512765293,3.6981783969414317,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.33399102135079245,0.2739346296756029,0.17920592793472356,6.2365946369716845,2.7426267372527566,4.499563257549137,0.54,0.28,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,1.325753927230835
base39_99900,0.0006559940977235913,0.00020668762314089587,5.523561926564917,0.0,8.008008008008008e-05,0.0,0.07332914079782762,0.05136458754754566,9.775413225322156,7.04105420436046,131.86297393310247,35.16684844278284,,,,,12487.5,15.583738867278992,0.6643400836871889,-0.06613845657358142,0.04063256081745027,11.553491188274524,0.4934939666304012,48.48049535520017,2.0470776800176314,-0.20654860707242242,1.2995366760424159,-0.23985966867031483,1.4093316028873895,-50.59357116433137,3.8331992509354413,8.0,0.0,0.0,0.0,99900.0,4.0,8.0,8.0,,99.07406651953154,3.2065547605569775,11.476369198253733,0.422136008516439,0.013673792373105939,0.056482143061528094,0.0,0.0,-0.2310492700767269,1.3704178085691425,131.86297393310247,9.475797776188637,7.0,0.2487761878453233,8.39650651477035,8.284460914346932,1.0133289642870678,1.4500103078341342,0.818166313897335,9.203229671817914,0.0086,0.1423,0.364,0.3049,0.125,0.0378,0.0126,0.0038,0.0007,0.0003,0.8917401820658748,0.8916960877319318,0.011296066016569873,0.1557215346623524,0.0587382522628072,9.210260153081117,0.0008,0.0051,0.0416,0.1399,0.2832,0.298,0.1655,0.052000000000000005,0.0125,0.0014,10.950705766677856
base39_32000,0.0012206683587076238,0.0003013459169416881,4.954196180789987,0.0,0.00025,0.0,0.07081390146583869,0.049968624080196374,9.451584864176352,6.853180464930271,131.9820789070435,34.114022719031865,,,,,4000.0,15.610656414806797,0.6734783299582898,-0.07735585845247306,0.061455815399041644,11.575616541510204,0.5006941060303858,46.5220649907371,2.554772338560248,-0.23259540425762004,1.2840303373991289,-0.2765918782895273,1.3814838951645307,-45.08651776770668,4.7661404502120455,8.0,0.0,0.0,0.0,32000.0,3.0,8.0,8.0,,91.60858275844379,4.051521119363289,11.481786849753444,0.41493496064857766,0.015054272145923243,0.0560425565580835,0.0,0.0,-0.2626875579448362,1.3513168171776337,131.9820789070435,9.316496946146671,7.0,0.2482926004261209,8.192363652419791,8.066759873361033,1.0313493527094182,1.326051242223083,0.8213891226454293,9.2026110214566,0.013000000000000001,0.1612,0.3598,0.2839,0.1209,0.0428,0.0133,0.0038,0.001,0.0003,0.8891711033979011,0.8889354603624197,0.012022791392783932,0.07333869419640049,0.06674593761544878,9.210248977506428,0.0012,0.0093,0.0515,0.1583,0.2876,0.2725,0.1505,0.0541,0.0135,0.0015,2.476336002349853
base39_16000,0.0018979656622409367,0.0004000211357250829,4.643856189774724,0.0,0.0005,0.0,0.07401273565077127,0.053111386742726543,9.874956102302983,7.23089053825053,131.9496812924922,35.65879968642345,,,,,2000.0,15.563009677502787,0.7013481232970095,-0.07071719423891143,0.0345941735824841,11.538638303127273,0.5236044480059351,43.783083037392004,2.953699349232238,-0.20553912106400052,1.3238362263377241,-0.22013974444180842,1.4097965831025505,-44.94262492967627,6.162565460217607,8.0,0.0,0.0,0.0,16000.0,5.0,8.0,8.0,,88.72570796706827,7.886117723346392,11.480319443586055,0.4167174660704698,0.010817829581869432,0.058065165384942476,0.0,0.0,-0.22762831697769484,1.3905880338505006,131.9496812924922,9.385334346487952,7.0,0.2472477782129072,7.8474505693325485,7.7372778515721725,0.9907409757226904,1.2756132660541954,0.7734536749424058,9.202552231220473,0.011000000000000001,0.1423,0.3531,0.2959,0.1363,0.0451,0.0121,0.0028,0.0008,0.0006,0.8847180906421718,0.8846989396152583,0.012555252846732036,0.019126999622122387,0.02556924165406132,9.210239678208797,0.0004,0.004,0.0306,0.1269,0.2651,0.3019,0.1903,0.0667,0.0122,0.0019,1.4145860671997068
base39_500,0.013393820794041519,0.0029033843630358277,2.8073203201603487,0.0,0.016,0.0,0.08920461071476109,0.052215133157963126,11.756931197985397,7.085613403161467,131.53132327402932,40.277898962753255,,,,,62.5,15.211807191812834,1.1500234611462166,-0.046625727534410966,0.21738060561613495,11.428572959280736,0.9040547577534133,33.803153025901956,2.9892182494657114,-0.42724149531072253,1.1415330416769647,-0.2944799945783206,1.4052944447220002,-34.265553518057864,2.7592436837135206,8.0,0.0,0.0,0.0,500.0,7.0,8.0,8.0,,68.06870654395982,3.897876778762289,11.459147086819492,0.5005954359310549,-0.012155263463597753,0.12989948682069044,0.0,0.0,-0.4348390434608033,1.3418114661080307,131.53132327402926,11.366745563603804,7.0,0.237806904578838,6.102492765162758,6.011701183965231,0.6886170311627297,0.3027515540891157,0.5589748520451595,4.598896597238174,0.08,0.14,0.18,0.21,0.16,0.1,0.09,0.02,0.0,0.02,0.8554254922372634,0.8554676906631506,0.014241150000166188,-0.3306899910584824,-0.03058257027741196,4.605031566915716,0.06,0.06,0.11,0.16,0.17,0.17,0.13,0.1,0.02,0.02,0.4667341709136963
base39_8000,0.002750572795459809,0.0005194848538407003,4.247926454000065,0.0,0.001,0.0,0.07702979711924608,0.0472691551857141,10.119352153916193,6.467234898812354,130.10412968233283,35.04554470705711,,,,,1000.0,15.473888378295264,0.6998887475511226,-0.08939771800325857,0.07194484646855583,11.483453764032697,0.5355584489446689,44.46293097232259,4.175697103783345,-0.14989770823382573,1.2495095560542953,-0.12849910930350894,1.3744928710559192,-40.523476519944246,4.06752710802487,8.0,0.0,0.0,0.0,8000.0,5.0,8.0,8.0,,84.98640749226684,3.2342008643999516,11.399686038011982,0.41581303090608146,0.013004073640672485,0.053810727962326,0.0,0.0,-0.1611481970392808,1.3276977645782948,130.1041296823327,9.291335649760542,7.0,0.2492491880307126,7.8683530209580494,7.906352757825121,0.9520128004273796,0.8095608305150899,0.6523462954982118,4.597981514270382,0.02,0.07,0.2,0.15,0.24,0.2,0.05,0.03,0.01,0.03,0.8851522058171325,0.8865589822104081,0.0120829019074845,0.03517511092053649,-0.02183511158117525,4.605076997835154,0.01,0.02,0.09,0.15,0.15,0.17,0.25,0.08,0.04,0.04,0.6327905654907227
base39_4000,0.00421061296981757,0.0009667891241749857,3.906888340456499,0.0,0.002,0.0,0.07329479190244649,0.05655970527105047,9.831978844984473,7.732468822637666,132.4364447994925,36.49614082496229,,,,,500.0,15.66518014815647,0.6440538631282343,-0.06563663823692756,0.07129986323856562,11.620838817971075,0.4452387912500602,41.429296757643094,4.884945832855103,-0.27272630104028095,1.266222398717567,-0.2703743018888798,1.4568316657740705,-41.22406239236589,3.7778416732674507,8.0,0.0,0.0,0.0,4000.0,8.0,8.0,8.0,,82.65335915000898,6.063487073254385,11.50083968241282,0.4370438342592562,-0.003341899131802748,0.048825139912997105,0.0,0.0,-0.2692673077062173,1.3372019090054383,132.43644479949248,9.8681509074285,7.0,0.25495287971232633,7.717303764189457,7.443024648989191,1.2723953162304231,1.848094768244433,1.2743938347432384,4.592283415095442,0.03,0.12,0.25,0.24,0.22,0.06,0.0,0.0,0.05,0.03,0.8821550940257872,0.8803560893608748,0.01564913790322205,0.5107799807379467,0.31252814168974397,4.605013100053038,0.01,0.04,0.04,0.14,0.3,0.18,0.16,0.05,0.03,0.05,0.5247988700866699
base39_2000,0.006228438586140494,0.001268168247746611,3.584956726082241,0.0,0.004,0.0,0.07526247515101907,0.05601497536219592,10.05564974778699,7.677032628192404,131.80955694643075,37.225430169434986,,,,,250.0,15.694162714933995,0.8159729849713713,-0.08512717200046394,0.10154299371292709,11.632472586606028,0.570100575624978,38.27768478002995,4.539453073589613,-0.1684207772068398,1.3250603945745043,-0.19575652156399842,1.4652672918217127,-38.789972912691816,4.709692582716719,8.0,0.0,0.0,0.0,2000.0,5.0,8.0,8.0,,77.06765769272177,6.686693258737174,11.471576793676618,0.49278545109648164,0.016019382018282236,0.08220388965590755,0.0,0.0,-0.22578435608724984,1.406231747825494,131.80955694643075,11.0520754151366,7.0,0.25049579698052266,7.474375243804285,7.252566468290768,1.0973883152770452,3.1561216110796497,1.3307610890988173,4.5949094480693535,0.11,0.31,0.25,0.17,0.09,0.04,0.02,0.0,0.0,0.01,0.8790258052170998,0.877590052523821,0.014364830166586963,-0.016154153804775362,0.4043640974180746,4.6050369360019925,0.04,0.08,0.23,0.17,0.17,0.16,0.08,0.05,0.01,0.01,0.4927387237548828
base39_1000,0.009125894425807262,0.002220557747758116,3.1699094960014107,6.016640247845747e-06,0.008,0.0,0.0663443790030709,0.0518844402539785,8.912406303858683,7.000989945406685,133.26363051736703,34.10341015993455,,,,,125.0,15.555330044227652,0.8394325111200059,-0.02232231791332695,0.1883394610987137,11.555481514103507,0.6676503240166054,36.901972961066335,4.373116605059345,-0.16338222207799075,1.4925777719967095,-0.06438557028706818,1.8088021233785263,-37.13249439362431,2.660157890279931,8.0,0.0,0.0,0.0,1000.0,8.0,8.0,8.0,,74.03446735469063,6.319504347218431,11.532455436184957,0.5514677866775073,-0.03279317354446986,0.0754935458063188,0.0,0.0,-0.10675813362043698,1.6043007133724918,133.2636305173671,12.226519286877462,7.0,0.24864092932326115,6.827699344713924,6.745361552106424,0.8404828796822167,-0.21530571472252047,0.4133981255094456,4.597671916081046,0.04,0.13,0.15,0.24,0.17,0.1,0.07,0.08,0.01,0.01,0.8691695487288591,0.8691668996642411,0.014199277252421387,-0.4238954891283853,-0.12434103701527595,4.605036637994949,0.01,0.06,0.06,0.14,0.13,0.26,0.13,0.1,0.1,0.01,0.4829473495483398
